no,property-name,price,house-type,area,bedrooms,bathrooms,receptions,location,county,postal-code,
0,Queens Road,1675000,House,2716,5,5,5,Wimbledon,London,SW19 8NY,
1,Seward Street,650000,Flat / Apartment,814,2,2,2,Clerkenwell,London,EC1V 3PA,
2,Hotham Road,735000,Flat / Apartment,761,2,2,2,Putney,London,SW15 1QL,
3,Festing Road,1765000,House,1986,4,4,4,Putney,London,SW15 1LP,
4,Spencer Walk,675000,Flat / Apartment,700,2,2,2,Putney,London,SW15 1PL,
5,Craven Hill Gardens,420000,Flat / Apartment,403,1,1,1,,London,W2 3EA,
6,Alfriston Road,1475000,House,1548,4,4,4,,London,SW11 6NW,
7,Bishops Gate,650000,New development,560,1,1,1, Fulham,London,SW6 3LF,
8,Adam & Eve Mews,2500000,House,1308,3,3,3,,London,W8 6UG,
9,Hornton Street,925000,Flat / Apartment,646,2,2,2,,London,W8 4NT,
10,Drakefield Road,2400000,House,3392,6,6,6,,London,SW17 8RR,
11,Cromwell Avenue,2500000,House,2974,6,6,6,Highgate,London,N6 5HQ,
12,Grove End House,725000,Flat / Apartment,778,2,2,2, St. John's Wood,London,NW8 9HP,
13,Abercorn Mansions,750000,Flat / Apartment,647,2,2,2,17 Abercorn Place,London,NW8 9DY,
14,Chester Terrace,12500000,House,4596,6,6,6,Regents Park,London,NW1 4ND,
15,Cambridge Park,1450000,Flat / Apartment,1702,3,3,3,,Twickenham,TW1 2PF,
16,Elsworthy Rise,2275000,New development,1173,3,3,3,Primrose Hill,London,NW3 3DS,
17,St. Anns Road,1075000,Duplex,865,2,2,2,,Holland Park,W11 4SR,
18,Clapham Road,500000,Flat / Apartment,597,1,1,1,,London,SW9 9BT,
19,Devonshire Close,5500000,House,3016,4,4,4,Marylebone,London,W1G 7BA,
20,The Draycott,8950000,New development,3154,4,4,4,10 Draycott Avenue,London,SW3 3AA,
21,Campden Hill Gardens,1175000,Flat / Apartment,765,2,2,2,,London,W8 7AX,
22,College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT,
23,St Mary's Grove,1300000,House,1101,3,3,3, Islington,London,N1 2NT,
24,Goldhurst Terrace,800000,Flat / Apartment,1177,3,3,3,South Hampstead,London,NW6 3HR,
25,Upper Park Road,3500000,House,2331,4,4,4,Belsize Park,London,NW3 2UP,
26,Wetherby House,1100000,Flat / Apartment,582,2,2,2,20-21 Wetherby Gardens,London,SW5 0JP,
27,Fernside Road,1200000,House,1494,4,4,4,,London,SW12 8LJ,
28,Telford Avenue,1250000,House,1507,4,4,4,,London,SW2 4XF,
29,Telford Avenue,695000,Flat / Apartment,945,3,3,3,,London,SW2 4XQ,
30,Stile Hall Gardens,1735000,House,2118,4,4,4,Chiswick,London,W4 3BS,
31,Wavendon Avenue,2350000,House,2297,5,5,5,Chiswick,London,W4 4NR,
32,Duke Road,1200000,House,1351,4,4,4,Chiswick,London,W4 2BA,
33,Hobury Street,975000,Flat / Apartment,749,2,2,2,,London,SW10 0JB,
34,Maltings Close,850000,House,1177,3,3,3,Barnes,London,SW13 0NL,
35,Munster Road,1599950,House,1884,4,4,4,Fulham,London,SW6 5RF,
36,Khyber Road,925000,Flat / Apartment,1321,2,2,2,,London,SW11 2PZ,
37,Coles Court,650000,Flat / Apartment,869,3,3,3,,Battersea,SW11 3DU,
38,Prince Of Wales Mansions,550000,Flat / Apartment,670,1,1,1,,London,SW11 4BG,
