model_yr,mfr_name,division,carline,mfr_code,model_type_index,engine_displacement,no_cylinders,transmission_speed,city_mpg,hwy_mpg,comb_mpg,guzzler,air_aspir_method,air_aspir_method_desc,transmission,transmission_desc,no_gears,trans_lockup,trans_creeper_gear,drive_sys,drive_desc,fuel_usage,fuel_usage_desc,class,car_truck,release_date,fuel_cell
2021,aston martin,Aston Martin Lagonda Ltd,Vantage Manual,ASX,5,4,8,Manual(M7),14,21,17,N,TC,Turbocharged,M,Manual,7,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2020-08-10T00:00:00Z,N
2021,MAZDA,MAZDA,MX-5,TKX,401,2,4,Manual(M6),26,34,29,N,"NA",Naturally Aspirated,M,Manual,6,N,Y,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2020-12-17T00:00:00Z,NA
2021,Nissan,NISSAN,370Z,NSX,57,3.7,6,Manual(M6),17,26,20,N,"NA",Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2021-01-01T00:00:00Z,NA
2021,Porsche,Porsche,718 Boxster,PRX,201,2,4,Manual(M6),20,26,22,N,TC,Turbocharged,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2020-10-01T00:00:00Z,NA
2021,Porsche,Porsche,718 Boxster GTS 4.0,PRX,223,4,6,Manual(M6),17,24,19,N,"NA",Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2020-12-02T00:00:00Z,NA
2021,Porsche,Porsche,718 Boxster S,PRX,221,2.5,4,Manual(M6),19,24,21,N,TC,Turbocharged,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2020-10-01T00:00:00Z,NA
2021,Porsche,Porsche,718 Boxster T,PRX,233,2,4,Manual(M6),20,26,22,N,TC,Turbocharged,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2020-10-01T00:00:00Z,NA
2021,Porsche,Porsche,718 Cayman,PRX,211,2,4,Manual(M6),20,26,22,N,TC,Turbocharged,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2020-10-01T00:00:00Z,NA
2021,Porsche,Porsche,718 Cayman GT4,PRX,235,4,6,Manual(M6),17,23,19,N,"NA",Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2020-12-02T00:00:00Z,NA
2021,Porsche,Porsche,718 Cayman GTS 4.0,PRX,227,4,6,Manual(M6),17,24,19,N,"NA",Naturally Aspirated,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Two Seaters,car,2020-12-02T00:00:00Z,NA
2021,Porsche,Porsche,718 Cayman S,PRX,231,2.5,4,Manual(M6),19,24,21,N,TC,Turbocharged,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2020-10-01T00:00:00Z,NA
2021,Porsche,Porsche,718 Cayman T,PRX,243,2,4,Manual(M6),20,26,22,N,TC,Turbocharged,M,Manual,6,N,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Two Seaters,car,2020-10-01T00:00:00Z,NA
